id,symbol,date,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,total_addresses_all_time,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply
1182,BTC,2009-09-01,1272,22099,78,78,22099,78,22162,0,50.0,22017,4.07788606261483e-06,1.0,1053.23376623377,215,1100900.0
1182,BTC,2009-09-02,1272,22165,66,66,22165,66,22228,0,50.0,22083,3.37316040066213e-06,1.0,1273.27692307692,215,1104200.0
1182,BTC,2009-09-03,1286,22226,61,76,22226,62,22290,0,60.4838709677419,22144,3.02661418021235e-06,1.0,1419.06666666667,242,1107250.0
1182,BTC,2009-09-04,1286,22290,64,64,22290,64,22354,0,50.0,22208,3.25317631076646e-06,1.0,1320.23809523809,215,1110450.0
1182,BTC,2009-09-05,1286,22366,76,76,22366,76,22430,0,50.0,22284,3.77913989464669e-06,1.0,1136.49333333333,215,1114250.0
1182,BTC,2009-09-06,1286,22434,68,68,22434,68,22498,0,50.0,22352,3.53096198426936e-06,1.0,1216.37313432836,215,1117650.0
1182,BTC,2009-09-07,1299,22512,78,92,22512,79,22577,0,57.5949367088608,22430,3.84343818180973e-06,1.0,1117.48051948052,235,1121550.0
1182,BTC,2009-09-08,1299,22581,69,69,22581,69,22646,0,50.0,22499,3.45413854183766e-06,1.0,1243.42647058824,215,1125000.0
1182,BTC,2009-09-09,1299,22635,54,54,22635,54,22700,0,50.0,22553,2.69213253725977e-06,1.0,1595.37735849057,215,1127700.0
1182,BTC,2009-09-10,1299,22702,67,67,22702,67,22767,0,50.0,22620,3.32845466489755e-06,1.0,1290.37878787879,215,1131050.0
1182,BTC,2009-09-11,1299,22769,67,67,22769,67,22834,0,50.0,22687,3.30601730212379e-06,1.0,1299.13636363636,215,1134400.0
1182,BTC,2009-09-12,1299,22838,69,69,22838,69,22903,0,50.0,22756,3.48967375768293e-06,1.0,1230.76470588235,215,1137850.0
